1000	0
2000	0
3000	1047000
4000	0
5000	0
6000	0
7000	999000
8000	999000
9000	1008000
10000	999000
11000	1029000
12000	0
13000	998000
14000	999000
15000	1041000
16000	1996000
17000	1000000
18000	998000
19000	1996000
20000	1002000
21000	997000
22000	1998000
23000	3410000
24000	998000
25000	998000
26000	998000
27000	1030000
28000	2136000
29000	5134000
30000	4333000
31000	3775000
32000	2889000
33000	996000
34000	6683000
35000	1696000
36000	5047000
37000	997000
38000	5338000
39000	998000
40000	7314000
41000	998000
42000	996000
43000	4877000
44000	998000
45000	0
46000	7640000
47000	0
48000	998000
49000	1996000
50000	10046000
51000	9027000
52000	9097000
53000	7958000
54000	9583000
55000	5311000
56000	7546000
57000	988000
58000	6680000
59000	997000
60000	0
61000	8424000
62000	997000
63000	5659000
64000	8122000
65000	0
66000	9214000
67000	7291000
68000	8130000
69000	11113000
70000	11551000
71000	12202000
72000	12315000
73000	5395000
74000	3860000
75000	3545000
76000	13198000
77000	15291000
78000	16811000
79000	14263000
80000	17623000
81000	16778000
82000	7007000
83000	8680000
84000	8762000
85000	15517000
86000	12766000
87000	11756000
88000	13629000
89000	9569000
90000	16813000
91000	4352000
92000	17140000
93000	16657000
94000	13560000
95000	9920000
96000	7914000
97000	15418000
98000	16769000
99000	12936000
100000	17808000
101000	18978000
102000	33253000
103000	12509000
104000	19392000
105000	8091000
106000	23191000
107000	17776000
108000	21776000
109000	12832000
110000	17633000
111000	13236000
112000	18516000
113000	16313000
114000	13578000
115000	10297000
116000	14903000
117000	11063000
118000	15458000
119000	10231000
120000	16973000
121000	11639000
122000	16628000
123000	11058000
124000	16860000
125000	10540000
126000	21610000
127000	19806000
128000	18925000
129000	9646000
130000	15491000
131000	23249000
132000	12908000
133000	15735000
134000	10340000
135000	19539000
136000	24957000
137000	13441000
138000	14716000
139000	22288000
140000	25133000
141000	13046000
142000	14360000
143000	21273000
144000	18486000
145000	12754000
146000	19827000
147000	14333000
148000	10574000
149000	19780000
150000	13071000
151000	22980000
152000	12802000
153000	18703000
154000	11283000
155000	7242000
156000	15979000
157000	9727000
158000	17077000
